model,run,sample_idx,sample_text,latency_s,parse_ok,suggestions_count,has_personalized_reply,raw_text_snippet,error
gemma3,1,0,The onboarding was confusing and my manager didn't explain expectations.,15.306,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:29.625497Z' done=True done_reason='length' total_duration=15239678000 load_duration=8671735900 prompt_eval_count=144 prompt_eval_duration=320753200 eval_count=180 eval_duration=6137976400 response='```json\n{\n ""sentiment"": {\n  ""label"": ""negative"",\n  ""sc",
gemma3,1,1,Great mentoring from senior devs — I'm learning a lot!,6.098,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:35.7826396Z' done=True done_reason='stop' total_duration=6095304600 load_duration=588845400 prompt_eval_count=144 prompt_eval_duration=48675600 eval_count=163 eval_duration=5413730500 response='```json\n{\n ""sentiment"": {\n  ""label"": ""positive"",\n  ""score""",
gemma3,1,2,Work-life balance is good but weekends are often required unexpectedly.,7.4,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:43.1820789Z' done=True done_reason='length' total_duration=7396061600 load_duration=488882300 prompt_eval_count=144 prompt_eval_duration=50839600 eval_count=180 eval_duration=6745805500 response='```json\n{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    """,
gemma3,2,0,The onboarding was confusing and my manager didn't explain expectations.,6.674,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:49.8565576Z' done=True done_reason='length' total_duration=6670227000 load_duration=572613400 prompt_eval_count=144 prompt_eval_duration=47289800 eval_count=180 eval_duration=5987041600 response='```json\n{\n ""sentiment"": {\n  ""label"": ""negative"",\n  ""scor",
gemma3,2,1,Great mentoring from senior devs — I'm learning a lot!,5.862,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:55.7199715Z' done=True done_reason='stop' total_duration=5859155000 load_duration=528938700 prompt_eval_count=144 prompt_eval_duration=42615000 eval_count=163 eval_duration=5237412000 response='```json\n{\n ""sentiment"": {\n  ""label"": ""positive"",\n  ""score""",
gemma3,2,2,Work-life balance is good but weekends are often required unexpectedly.,6.453,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:02.1716325Z' done=True done_reason='length' total_duration=6448914600 load_duration=572765200 prompt_eval_count=144 prompt_eval_duration=44371900 eval_count=180 eval_duration=5781811100 response='```json\n{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    """,
gemma3,3,0,The onboarding was confusing and my manager didn't explain expectations.,6.387,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:08.5592792Z' done=True done_reason='length' total_duration=6383767100 load_duration=548454700 prompt_eval_count=144 prompt_eval_duration=45072300 eval_count=180 eval_duration=5704088400 response='```json\n{\n ""sentiment"": {\n  ""label"": ""negative"",\n  ""scor",
gemma3,3,1,Great mentoring from senior devs — I'm learning a lot!,5.89,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:14.450274Z' done=True done_reason='stop' total_duration=5887358200 load_duration=575313200 prompt_eval_count=144 prompt_eval_duration=42842000 eval_count=163 eval_duration=5213841500 response='```json\n{\n ""sentiment"": {\n  ""label"": ""positive"",\n  ""score"":",
gemma3,3,2,Work-life balance is good but weekends are often required unexpectedly.,6.387,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:20.8363606Z' done=True done_reason='length' total_duration=6382912600 load_duration=553520400 prompt_eval_count=144 prompt_eval_duration=45151700 eval_count=180 eval_duration=5727687700 response='```json\n{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    """,
mistral:7b-instruct,1,0,The onboarding was confusing and my manager didn't explain expectations.,20.913,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:15:41.7487317Z' done=True done_reason='length' total_duration=20908670900 load_duration=7345571200 prompt_eval_count=165 prompt_eval_duration=403938600 eval_count=180 eval_duration=13090115300 response=' {\n  ""sentiment"": {\n    ""label"": ""negativ",
